"pba-14v-2"
"Wavelength nm.","Abs."
384.40,0.052
384.60,0.053
384.80,0.053
385.00,0.053
385.20,0.053
385.40,0.053
385.60,0.053
385.80,0.053
386.00,0.053
386.20,0.053
386.40,0.053
386.60,0.053
386.80,0.053
387.00,0.053
387.20,0.053
387.40,0.054
387.60,0.054
387.80,0.054
388.00,0.054
388.20,0.054
388.40,0.054
388.60,0.054
388.80,0.054
389.00,0.054
389.20,0.055
389.40,0.055
389.60,0.055
389.80,0.055
390.00,0.055
390.20,0.055
390.40,0.056
390.60,0.056
390.80,0.056
391.00,0.056
391.20,0.056
391.40,0.056
391.60,0.057
391.80,0.057
392.00,0.057
392.20,0.057
392.40,0.057
392.60,0.057
392.80,0.057
393.00,0.058
393.20,0.058
393.40,0.058
393.60,0.058
393.80,0.058
394.00,0.058
394.20,0.058
394.40,0.058
394.60,0.059
394.80,0.059
395.00,0.059
395.20,0.059
395.40,0.059
395.60,0.059
395.80,0.059
396.00,0.059
396.20,0.059
396.40,0.059
396.60,0.059
396.80,0.060
397.00,0.060
397.20,0.060
397.40,0.060
397.60,0.060
397.80,0.060
398.00,0.060
398.20,0.060
398.40,0.061
398.60,0.061
398.80,0.061
399.00,0.061
399.20,0.062
399.40,0.062
399.60,0.062
399.80,0.062
400.00,0.062
400.20,0.062
400.40,0.062
400.60,0.063
400.80,0.063
401.00,0.063
401.20,0.063
401.40,0.063
401.60,0.063
401.80,0.063
402.00,0.064
402.20,0.064
402.40,0.064
402.60,0.064
402.80,0.064
403.00,0.064
403.20,0.064
403.40,0.065
403.60,0.065
403.80,0.065
404.00,0.065
404.20,0.065
404.40,0.065
404.60,0.066
404.80,0.066
405.00,0.066
405.20,0.066
405.40,0.066
405.60,0.067
405.80,0.067
406.00,0.067
406.20,0.067
406.40,0.068
406.60,0.068
406.80,0.068
407.00,0.068
407.20,0.068
407.40,0.068
407.60,0.069
407.80,0.069
408.00,0.069
408.20,0.069
408.40,0.069
408.60,0.069
408.80,0.069
409.00,0.069
409.20,0.070
409.40,0.070
409.60,0.070
409.80,0.070
410.00,0.070
410.20,0.070
410.40,0.070
410.60,0.070
410.80,0.071
411.00,0.071
411.20,0.071
411.40,0.071
411.60,0.071
411.80,0.071
412.00,0.072
412.20,0.072
412.40,0.072
412.60,0.072
412.80,0.072
413.00,0.072
413.20,0.072
413.40,0.073
413.60,0.073
413.80,0.073
414.00,0.073
414.20,0.073
414.40,0.074
414.60,0.074
414.80,0.074
415.00,0.074
415.20,0.074
415.40,0.074
415.60,0.075
415.80,0.075
416.00,0.075
416.20,0.075
416.40,0.076
416.60,0.076
416.80,0.076
417.00,0.076
417.20,0.076
417.40,0.077
417.60,0.077
417.80,0.077
418.00,0.078
418.20,0.078
418.40,0.078
418.60,0.078
418.80,0.078
419.00,0.079
419.20,0.079
419.40,0.079
419.60,0.079
419.80,0.080
420.00,0.080
420.20,0.080
420.40,0.081
420.60,0.081
420.80,0.081
421.00,0.081
421.20,0.082
421.40,0.082
421.60,0.083
421.80,0.083
422.00,0.083
422.20,0.084
422.40,0.084
422.60,0.084
422.80,0.084
423.00,0.085
423.20,0.085
423.40,0.085
423.60,0.085
423.80,0.086
424.00,0.086
424.20,0.086
424.40,0.087
424.60,0.087
424.80,0.087
425.00,0.088
425.20,0.088
425.40,0.088
425.60,0.089
425.80,0.089
426.00,0.089
426.20,0.090
426.40,0.090
426.60,0.090
426.80,0.090
427.00,0.091
427.20,0.091
427.40,0.091
427.60,0.092
427.80,0.092
428.00,0.092
428.20,0.093
428.40,0.093
428.60,0.093
428.80,0.094
429.00,0.094
429.20,0.094
429.40,0.095
429.60,0.095
429.80,0.095
430.00,0.096
430.20,0.096
430.40,0.096
430.60,0.096
430.80,0.097
431.00,0.097
431.20,0.098
431.40,0.098
431.60,0.098
431.80,0.099
432.00,0.099
432.20,0.099
432.40,0.100
432.60,0.100
432.80,0.100
433.00,0.101
433.20,0.101
433.40,0.101
433.60,0.102
433.80,0.102
434.00,0.102
434.20,0.103
434.40,0.103
434.60,0.103
434.80,0.103
435.00,0.104
435.20,0.104
435.40,0.104
435.60,0.105
435.80,0.105
436.00,0.105
436.20,0.106
436.40,0.106
436.60,0.106
436.80,0.107
437.00,0.107
437.20,0.107
437.40,0.108
437.60,0.108
437.80,0.108
438.00,0.109
438.20,0.109
438.40,0.109
438.60,0.109
438.80,0.110
439.00,0.110
439.20,0.110
439.40,0.111
439.60,0.111
439.80,0.111
440.00,0.111
440.20,0.112
440.40,0.112
440.60,0.112
440.80,0.113
441.00,0.113
441.20,0.113
441.40,0.113
441.60,0.113
441.80,0.114
442.00,0.114
442.20,0.114
442.40,0.114
442.60,0.115
442.80,0.115
443.00,0.115
443.20,0.116
443.40,0.116
443.60,0.116
443.80,0.116
444.00,0.117
444.20,0.117
444.40,0.117
444.60,0.118
444.80,0.118
445.00,0.118
445.20,0.119
445.40,0.119
445.60,0.119
445.80,0.120
446.00,0.120
446.20,0.120
446.40,0.120
446.60,0.120
446.80,0.121
447.00,0.121
447.20,0.121
447.40,0.121
447.60,0.122
447.80,0.122
448.00,0.122
448.20,0.122
448.40,0.123
448.60,0.123
448.80,0.123
449.00,0.123
449.20,0.123
449.40,0.123
449.60,0.124
449.80,0.124
450.00,0.124
450.20,0.124
450.40,0.125
450.60,0.125
450.80,0.125
451.00,0.125
451.20,0.126
451.40,0.126
451.60,0.126
451.80,0.126
452.00,0.127
452.20,0.127
452.40,0.127
452.60,0.127
452.80,0.127
453.00,0.127
453.20,0.127
453.40,0.128
453.60,0.128
453.80,0.128
454.00,0.128
454.20,0.128
454.40,0.128
454.60,0.128
454.80,0.128
455.00,0.129
455.20,0.129
455.40,0.129
455.60,0.129
455.80,0.129
456.00,0.129
456.20,0.128
456.40,0.128
456.60,0.128
456.80,0.129
457.00,0.129
457.20,0.129
457.40,0.129
457.60,0.129
457.80,0.129
458.00,0.129
458.20,0.129
458.40,0.129
458.60,0.129
458.80,0.130
459.00,0.130
459.20,0.131
459.40,0.131
459.60,0.131
459.80,0.131
460.00,0.131
460.20,0.131
460.40,0.131
460.60,0.131
460.80,0.131
461.00,0.131
461.20,0.131
461.40,0.131
461.60,0.131
461.80,0.131
462.00,0.131
462.20,0.131
462.40,0.130
462.60,0.130
462.80,0.130
463.00,0.130
463.20,0.130
463.40,0.130
463.60,0.130
463.80,0.130
464.00,0.130
464.20,0.129
464.40,0.129
464.60,0.129
464.80,0.129
465.00,0.128
465.20,0.129
465.40,0.129
465.60,0.129
465.80,0.128
466.00,0.128
466.20,0.128
466.40,0.128
466.60,0.128
466.80,0.128
467.00,0.127
467.20,0.127
467.40,0.127
467.60,0.127
467.80,0.126
468.00,0.126
468.20,0.125
468.40,0.125
468.60,0.125
468.80,0.124
469.00,0.124
469.20,0.124
469.40,0.123
469.60,0.123
469.80,0.123
470.00,0.123
470.20,0.122
470.40,0.122
470.60,0.121
470.80,0.121
471.00,0.121
471.20,0.120
471.40,0.120
471.60,0.120
471.80,0.119
472.00,0.119
472.20,0.119
472.40,0.118
472.60,0.118
472.80,0.118
473.00,0.118
473.20,0.117
473.40,0.117
473.60,0.117
473.80,0.117
474.00,0.116
474.20,0.116
474.40,0.116
474.60,0.115
474.80,0.115
475.00,0.114
475.20,0.114
