"pba-12v"
"Wavelength nm.","Abs."
434.00,0.092
434.20,0.092
434.40,0.093
434.60,0.093
434.80,0.093
435.00,0.094
435.20,0.094
435.40,0.094
435.60,0.095
435.80,0.095
436.00,0.095
436.20,0.096
436.40,0.096
436.60,0.096
436.80,0.097
437.00,0.097
437.20,0.097
437.40,0.098
437.60,0.098
437.80,0.098
438.00,0.099
438.20,0.099
438.40,0.099
438.60,0.099
438.80,0.100
439.00,0.100
439.20,0.100
439.40,0.101
439.60,0.101
439.80,0.101
440.00,0.101
440.20,0.102
440.40,0.102
440.60,0.102
440.80,0.103
441.00,0.103
441.20,0.103
441.40,0.104
441.60,0.104
441.80,0.104
442.00,0.104
442.20,0.105
442.40,0.105
442.60,0.105
442.80,0.106
443.00,0.106
443.20,0.106
443.40,0.107
443.60,0.107
443.80,0.107
444.00,0.108
444.20,0.108
444.40,0.108
444.60,0.108
444.80,0.109
445.00,0.109
445.20,0.110
445.40,0.110
445.60,0.110
445.80,0.110
446.00,0.110
446.20,0.111
446.40,0.111
446.60,0.111
446.80,0.111
447.00,0.112
447.20,0.112
447.40,0.112
447.60,0.112
447.80,0.112
448.00,0.113
448.20,0.113
448.40,0.113
448.60,0.113
448.80,0.114
449.00,0.114
449.20,0.114
449.40,0.114
449.60,0.115
449.80,0.115
450.00,0.115
450.20,0.115
450.40,0.116
450.60,0.116
450.80,0.116
451.00,0.117
451.20,0.117
451.40,0.117
451.60,0.117
451.80,0.118
452.00,0.118
452.20,0.118
452.40,0.118
452.60,0.118
452.80,0.119
453.00,0.119
453.20,0.119
453.40,0.119
453.60,0.119
453.80,0.119
454.00,0.119
454.20,0.120
454.40,0.120
454.60,0.120
454.80,0.120
455.00,0.120
455.20,0.120
455.40,0.120
455.60,0.121
455.80,0.121
456.00,0.121
456.20,0.121
456.40,0.121
456.60,0.121
456.80,0.121
457.00,0.121
457.20,0.121
457.40,0.122
457.60,0.122
457.80,0.122
458.00,0.122
458.20,0.122
458.40,0.122
458.60,0.122
458.80,0.123
459.00,0.122
459.20,0.122
459.40,0.123
459.60,0.123
459.80,0.123
460.00,0.123
460.20,0.123
460.40,0.123
460.60,0.123
460.80,0.123
461.00,0.124
461.20,0.123
461.40,0.123
461.60,0.124
461.80,0.123
462.00,0.123
462.20,0.123
462.40,0.123
462.60,0.123
462.80,0.123
463.00,0.122
463.20,0.122
463.40,0.122
463.60,0.122
463.80,0.122
464.00,0.122
464.20,0.122
464.40,0.122
464.60,0.121
464.80,0.121
465.00,0.121
465.20,0.120
465.40,0.120
465.60,0.120
465.80,0.120
466.00,0.119
466.20,0.119
466.40,0.119
466.60,0.119
466.80,0.119
467.00,0.118
467.20,0.118
467.40,0.118
467.60,0.118
467.80,0.117
468.00,0.117
468.20,0.117
468.40,0.116
468.60,0.116
468.80,0.116
469.00,0.115
469.20,0.115
469.40,0.115
469.60,0.114
469.80,0.114
470.00,0.114
470.20,0.113
470.40,0.113
470.60,0.113
470.80,0.112
471.00,0.112
471.20,0.111
471.40,0.111
471.60,0.111
471.80,0.110
472.00,0.110
472.20,0.110
472.40,0.109
472.60,0.109
472.80,0.109
473.00,0.108
473.20,0.108
473.40,0.108
473.60,0.107
473.80,0.107
474.00,0.106
474.20,0.106
474.40,0.106
474.60,0.105
474.80,0.105
475.00,0.104
475.20,0.104
475.40,0.103
475.60,0.103
475.80,0.103
476.00,0.102
476.20,0.102
476.40,0.101
476.60,0.101
476.80,0.100
477.00,0.100
477.20,0.099
477.40,0.099
477.60,0.098
477.80,0.098
478.00,0.097
478.20,0.097
478.40,0.097
478.60,0.096
478.80,0.096
479.00,0.095
479.20,0.095
479.40,0.094
479.60,0.094
479.80,0.093
480.00,0.093
480.20,0.093
480.40,0.092
480.60,0.092
480.80,0.091
481.00,0.091
481.20,0.090
481.40,0.090
481.60,0.089
481.80,0.089
482.00,0.088
482.20,0.088
482.40,0.087
482.60,0.087
482.80,0.086
483.00,0.086
483.20,0.085
483.40,0.085
483.60,0.084
483.80,0.084
484.00,0.083
484.20,0.083
484.40,0.082
484.60,0.081
484.80,0.081
485.00,0.080
485.20,0.080
485.40,0.079
485.60,0.078
485.80,0.078
486.00,0.077
486.20,0.077
486.40,0.076
486.60,0.076
486.80,0.075
487.00,0.074
487.20,0.074
487.40,0.073
487.60,0.073
487.80,0.072
488.00,0.072
488.20,0.071
488.40,0.071
488.60,0.070
488.80,0.070
489.00,0.069
489.20,0.069
489.40,0.068
489.60,0.068
489.80,0.067
490.00,0.067
490.20,0.066
490.40,0.066
490.60,0.065
490.80,0.065
491.00,0.064
491.20,0.063
491.40,0.063
491.60,0.062
491.80,0.062
492.00,0.061
492.20,0.061
492.40,0.060
492.60,0.059
492.80,0.059
493.00,0.058
493.20,0.058
493.40,0.057
493.60,0.057
493.80,0.056
494.00,0.056
494.20,0.055
494.40,0.055
494.60,0.054
494.80,0.054
495.00,0.053
495.20,0.053
495.40,0.052
495.60,0.052
495.80,0.051
496.00,0.051
496.20,0.050
496.40,0.050
496.60,0.050
496.80,0.049
497.00,0.049
497.20,0.048
497.40,0.048
497.60,0.047
497.80,0.047
498.00,0.046
498.20,0.046
498.40,0.045
498.60,0.045
498.80,0.044
499.00,0.044
499.20,0.044
499.40,0.043
499.60,0.043
499.80,0.042
500.00,0.042
500.20,0.041
500.40,0.041
500.60,0.041
500.80,0.040
501.00,0.040
501.20,0.039
501.40,0.039
501.60,0.038
501.80,0.038
502.00,0.038
502.20,0.037
502.40,0.037
502.60,0.037
502.80,0.036
503.00,0.036
503.20,0.035
503.40,0.035
503.60,0.035
503.80,0.034
504.00,0.034
504.20,0.034
504.40,0.033
504.60,0.033
504.80,0.033
505.00,0.032
505.20,0.032
505.40,0.032
505.60,0.032
505.80,0.031
506.00,0.031
506.20,0.031
506.40,0.030
506.60,0.030
506.80,0.030
507.00,0.029
507.20,0.029
507.40,0.029
507.60,0.029
507.80,0.028
508.00,0.028
508.20,0.028
508.40,0.027
508.60,0.027
508.80,0.027
509.00,0.027
509.20,0.026
509.40,0.026
509.60,0.026
509.80,0.025
510.00,0.025
510.20,0.025
510.40,0.025
510.60,0.025
510.80,0.024
511.00,0.024
511.20,0.024
511.40,0.024
511.60,0.024
511.80,0.023
512.00,0.023
512.20,0.023
512.40,0.023
512.60,0.022
512.80,0.022
513.00,0.022
513.20,0.022
513.40,0.022
513.60,0.022
513.80,0.021
514.00,0.021
514.20,0.021
514.40,0.021
514.60,0.021
514.80,0.021
515.00,0.020
515.20,0.020
515.40,0.020
515.60,0.020
515.80,0.020
516.00,0.020
516.20,0.020
516.40,0.019
516.60,0.019
516.80,0.019
517.00,0.019
517.20,0.019
517.40,0.019
517.60,0.018
517.80,0.018
518.00,0.018
518.20,0.018
518.40,0.018
518.60,0.018
518.80,0.018
519.00,0.018
519.20,0.018
519.40,0.017
519.60,0.017
519.80,0.017
520.00,0.017
520.20,0.017
520.40,0.017
520.60,0.017
520.80,0.017
521.00,0.017
521.20,0.016
521.40,0.016
521.60,0.016
521.80,0.016
522.00,0.016
522.20,0.016
522.40,0.016
522.60,0.016
522.80,0.016
523.00,0.016
523.20,0.016
523.40,0.015
523.60,0.015
523.80,0.015
524.00,0.015
524.20,0.015
524.40,0.015
524.60,0.015
524.80,0.015
525.00,0.015
525.20,0.015
525.40,0.015
525.60,0.015
525.80,0.014
526.00,0.014
526.20,0.014
526.40,0.014
526.60,0.014
526.80,0.014
527.00,0.014
527.20,0.014
527.40,0.014
527.60,0.014
527.80,0.014
528.00,0.014
528.20,0.014
528.40,0.014
528.60,0.014
528.80,0.014
529.00,0.014
529.20,0.014
529.40,0.014
529.60,0.014
529.80,0.014
530.00,0.014
530.20,0.014
530.40,0.014
530.60,0.014
530.80,0.014
531.00,0.014
531.20,0.014
531.40,0.014
531.60,0.014
531.80,0.014
532.00,0.014
532.20,0.014
532.40,0.014
532.60,0.014
532.80,0.014
533.00,0.014
533.20,0.014
533.40,0.014
533.60,0.013
533.80,0.013
534.00,0.013
534.20,0.013
534.40,0.013
534.60,0.013
534.80,0.013
535.00,0.013
535.20,0.013
535.40,0.013
535.60,0.013
535.80,0.013
536.00,0.013
536.20,0.013
536.40,0.013
536.60,0.013
536.80,0.013
537.00,0.013
537.20,0.013
537.40,0.013
